id	argVar	pvform	lemma	pvv	mood	cau	pot	dat	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
meséls484w14	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls486w5	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	1	0	0	0	0
meséls493w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls494w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	1	1	0	0	0
meséls503w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls504w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls505w2	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls507w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls508w8	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls509w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls511w11	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls513w11	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls514w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls516w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls517w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls518w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls520w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls521w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls523w9	1	0	mesél	0+mesél	ind	-	-	0	0	0	1	0	0	0	0	0	0
meséls524w3	1	0	mesél	0+mesél	ind	-	-	0	0	1	0	0	0	0	0	0	0
meséls525w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls535w4	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls537w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls538w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	1	0	0	0	0
meséls540w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls550w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls555w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls556w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls557w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls561w8	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls562w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls563w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls565w8	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls568w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls576w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls580w1	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls582w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls591w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls592w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls593w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls594w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls595w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls599w1	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls604w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls605w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls606w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls617w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls688w1	1	0	mesél	0+mesél	ind	-	-	0	0	1	0	0	0	1	0	0	0
meséls700w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls702w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls703w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls704w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls705w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls706w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls707w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls708w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls710w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls720w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls721w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls726w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls727w1	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls730w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls732w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls734w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls735w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls738w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls739w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls740w1	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls744w6	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls746w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls748w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls751w9	1	0	mesél	0+mesél	ind	-	-	0	0	0	1	0	0	0	0	0	0
meséls752w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls756w5	1	0	mesél	0+mesél	ind	-	-	0	0	1	0	0	0	1	0	0	0
meséls758w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls762w8	1	0	mesél	0+mesél	ind	-	-	0	0	1	0	0	1	0	0	0	0
meséls764w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls766w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls771w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls772w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls774w3	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls776w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls777w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls785w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls787w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls792w17	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls793w7	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls804w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls805w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls806w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls807w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls811w7	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls812w8	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls813w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls814w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls815w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls817w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls818w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls830w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls837w5	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls840w7	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls846w7	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls848w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls850w14	1	0	mesél	0+mesél	ind	-	-	0	0	1	0	0	0	1	0	0	0
meséls853w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls854w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls857w2	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	1	0	0	0
meséls862w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls867w2	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls873w8	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls875w9	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls876w6	1	0	mesél	0+mesél	ind	-	-	0	0	1	0	0	0	1	0	0	0
meséls877w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls880w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls883w12	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	1	1	0	0	0
meséls889w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls896w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls904w8	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls906w7	1	0	mesél	0+mesél	ind	-	-	1	0	1	0	0	0	0	0	0	0
meséls907w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls910w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls911w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls912w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls914w6	1	0	mesél	0+mesél	ind	-	-	0	0	1	0	0	0	0	0	0	0
meséls918w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls920w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls921w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls922w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls923w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls924w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls926w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls927w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls929w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls930w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls941w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls952w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls954w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls955w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls959w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls963w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls975w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls984w10	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls986w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls990w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	0	0	0	0
meséls997w4	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls1007w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls1009w4	1	0	mesél	0+mesél	ind	-	-	0	0	1	0	0	0	0	0	0	0
meséls1011w2	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls1013w13	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls1014w3	1	0	mesél	0+mesél	ind	-	-	1	0	0	0	0	0	0	0	0	0
meséls1023w5	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
meséls1024w3	1	0	mesél	0+mesél	ind	-	-	0	0	0	0	0	0	1	0	0	0
